"GEO_ID","NAME","H006001","H006002","H006003","H006004","H006005","H006006","H006007","H006008"
"id","Geographic Area Name","Total","Total!!Householder who is White alone","Total!!Householder who is Black or African American alone","Total!!Householder who is American Indian and Alaska Native alone","Total!!Householder who is Asian alone","Total!!Householder who is Native Hawaiian and Other Pacific Islander alone","Total!!Householder who is Some Other Race alone","Total!!Householder who is Two or More Races"
"8710000US4215675","ZCTA5 15675, Pennsylvania","416","408","5","1","0","0","0","2"
"8710000US4219033","ZCTA5 19033, Pennsylvania","2978","2783","119","1","46","0","12","17"
"8710000US4215322","ZCTA5 15322, Pennsylvania","807","778","24","1","0","0","0","4"
"8710000US4215622","ZCTA5 15622, Pennsylvania","621","619","0","0","0","0","0","2"
"8710000US4216725","ZCTA5 16725, Pennsylvania","67","67","0","0","0","0","0","0"
"8710000US4217224","ZCTA5 17224, Pennsylvania","724","715","3","1","0","0","1","4"
"8710000US4218947","ZCTA5 18947, Pennsylvania","2152","2090","7","1","10","0","25","19"
"8710000US4218469","ZCTA5 18469, Pennsylvania","152","147","3","1","1","0","0","0"
"8710000US4218830","ZCTA5 18830, Pennsylvania","309","307","0","0","1","0","0","1"
"8710000US4219040","ZCTA5 19040, Pennsylvania","8114","7712","159","8","107","5","69","54"
"8710000US4215239","ZCTA5 15239, Pennsylvania","8323","7888","276","4","83","1","19","52"
"8710000US4215521","ZCTA5 15521, Pennsylvania","699","691","2","1","0","0","0","5"
"8710000US4215681","ZCTA5 15681, Pennsylvania","2093","2069","7","1","6","0","1","9"
"8710000US4217050","ZCTA5 17050, Pennsylvania","13345","12239","221","13","705","1","53","113"
"8710000US4219076","ZCTA5 19076, Pennsylvania","2546","2413","62","3","38","1","7","22"
"8710000US4215711","ZCTA5 15711, Pennsylvania","169","168","0","0","0","0","0","1"
"8710000US4216322","ZCTA5 16322, Pennsylvania","72","72","0","0","0","0","0","0"
"8710000US4218447","ZCTA5 18447, Pennsylvania","4494","4406","32","6","15","0","16","19"
"8710000US4216352","ZCTA5 16352, Pennsylvania","110","110","0","0","0","0","0","0"
"8710000US4217978","ZCTA5 17978, Pennsylvania","100","98","0","0","0","0","0","2"
"8710000US4216426","ZCTA5 16426, Pennsylvania","1454","1441","3","1","2","0","2","5"
"8710000US4218017","ZCTA5 18017, Pennsylvania","15077","12938","724","31","393","1","765","225"
"8710000US4218032","ZCTA5 18032, Pennsylvania","3816","3567","77","4","27","3","89","49"
"8710000US4217210","ZCTA5 17210, Pennsylvania","85","85","0","0","0","0","0","0"
"8710000US4217601","ZCTA5 17601, Pennsylvania","19833","18010","576","31","655","3","378","180"
"8710000US4215223","ZCTA5 15223, Pennsylvania","3351","3286","24","3","14","0","6","18"
"8710000US4216054","ZCTA5 16054, Pennsylvania","209","209","0","0","0","0","0","0"
"8710000US4216101","ZCTA5 16101, Pennsylvania","13947","12726","1026","13","20","2","19","141"
"8710000US4217861","ZCTA5 17861, Pennsylvania","58","58","0","0","0","0","0","0"
"8710000US4216233","ZCTA5 16233, Pennsylvania","511","507","1","1","0","0","0","2"
"8710000US4216212","ZCTA5 16212, Pennsylvania","151","151","0","0","0","0","0","0"
"8710000US4216236","ZCTA5 16236, Pennsylvania","116","115","0","0","0","0","0","1"
"8710000US4215732","ZCTA5 15732, Pennsylvania","634","629","3","0","0","0","0","2"
"8710000US4215037","ZCTA5 15037, Pennsylvania","4526","4422","74","3","8","2","1","16"
"8710000US4216255","ZCTA5 16255, Pennsylvania","741","735","1","0","3","0","0","2"
"8710000US4218974","ZCTA5 18974, Pennsylvania","15992","14886","369","20","278","4","309","126"
"8710000US4215929","ZCTA5 15929, Pennsylvania","34","34","0","0","0","0","0","0"
"8710000US4215944","ZCTA5 15944, Pennsylvania","1415","1402","1","1","1","0","2","8"
"8710000US4218621","ZCTA5 18621, Pennsylvania","1984","1965","3","1","3","0","5","7"
"8710000US4219054","ZCTA5 19054, Pennsylvania","6387","5891","235","13","129","1","54","64"
"8710000US4215655","ZCTA5 15655, Pennsylvania","183","183","0","0","0","0","0","0"
"8710000US4216636","ZCTA5 16636, Pennsylvania","308","306","0","0","0","0","0","2"
"8710000US4217403","ZCTA5 17403, Pennsylvania","14768","11798","1792","37","215","3","660","263"
"8710000US4215754","ZCTA5 15754, Pennsylvania","214","205","3","1","0","0","0","5"
"8710000US4217023","ZCTA5 17023, Pennsylvania","1407","1389","6","1","6","0","1","4"
"8710000US4217941","ZCTA5 17941, Pennsylvania","338","338","0","0","0","0","0","0"
"8710000US4218360","ZCTA5 18360, Pennsylvania","10653","9219","794","28","203","2","239","168"
"8710000US4218628","ZCTA5 18628, Pennsylvania","103","101","0","1","1","0","0","0"
"8710000US4215851","ZCTA5 15851, Pennsylvania","2699","2668","7","5","4","0","1","14"
"8710000US4219143","ZCTA5 19143, Pennsylvania","25490","3270","21023","91","414","12","136","544"
"8710000US4215753","ZCTA5 15753, Pennsylvania","215","215","0","0","0","0","0","0"
"8710000US4217555","ZCTA5 17555, Pennsylvania","2222","2187","12","0","7","1","5","10"
"8710000US4216045","ZCTA5 16045, Pennsylvania","528","502","12","2","1","0","4","7"
"8710000US4217235","ZCTA5 17235, Pennsylvania","261","247","2","1","0","1","9","1"
"8710000US4217829","ZCTA5 17829, Pennsylvania","85","84","0","0","0","0","0","1"
"8710000US4216730","ZCTA5 16730, Pennsylvania","55","55","0","0","0","0","0","0"
"8710000US4217244","ZCTA5 17244, Pennsylvania","881","874","6","0","0","0","0","1"
"8710000US4215461","ZCTA5 15461, Pennsylvania","1777","1669","83","5","1","0","2","17"
"8710000US4217071","ZCTA5 17071, Pennsylvania","48","47","1","0","0","0","0","0"
"8710000US4219310","ZCTA5 19310, Pennsylvania","971","890","62","2","2","0","9","6"
"8710000US4218080","ZCTA5 18080, Pennsylvania","4611","4501","28","6","17","0","33","26"
"8710000US4218913","ZCTA5 18913, Pennsylvania","91","89","0","0","2","0","0","0"
"8710000US4215678","ZCTA5 15678, Pennsylvania","206","204","1","0","1","0","0","0"
"8710000US4216249","ZCTA5 16249, Pennsylvania","843","835","1","1","0","0","1","5"
"8710000US4216863","ZCTA5 16863, Pennsylvania","297","295","0","1","0","0","0","1"
"8710000US4217260","ZCTA5 17260, Pennsylvania","460","455","0","1","1","0","1","2"
"8710000US4215746","ZCTA5 15746, Pennsylvania","60","59","0","0","0","0","0","1"
"8710000US4217765","ZCTA5 17765, Pennsylvania","453","449","0","0","1","0","0","3"
"8710000US4216025","ZCTA5 16025, Pennsylvania","2119","2107","2","1","1","0","0","8"
"8710000US4217529","ZCTA5 17529, Pennsylvania","1324","1292","9","4","7","1","5","6"
"8710000US4217822","ZCTA5 17822, Pennsylvania","0","0","0","0","0","0","0","0"
"8710000US4218086","ZCTA5 18086, Pennsylvania","160","155","2","0","0","0","1","2"
"8710000US4216048","ZCTA5 16048, Pennsylvania","49","49","0","0","0","0","0","0"
"8710000US4217055","ZCTA5 17055, Pennsylvania","14691","13946","294","23","223","2","86","117"
"8710000US4218443","ZCTA5 18443, Pennsylvania","200","196","1","0","0","0","0","3"
"8710000US4219564","ZCTA5 19564, Pennsylvania","44","43","0","0","0","0","0","1"
"8710000US4215148","ZCTA5 15148, Pennsylvania","1305","1085","180","6","3","0","4","27"
"8710000US4215676","ZCTA5 15676, Pennsylvania","183","182","1","0","0","0","0","0"
"8710000US4216750","ZCTA5 16750, Pennsylvania","159","157","0","0","0","0","0","2"
"8710000US4215483","ZCTA5 15483, Pennsylvania","233","233","0","0","0","0","0","0"
"8710000US4217837","ZCTA5 17837, Pennsylvania","6518","6235","115","8","75","0","32","53"
"8710000US4217933","ZCTA5 17933, Pennsylvania","38","38","0","0","0","0","0","0"
"8710000US4215143","ZCTA5 15143, Pennsylvania","7968","7438","211","7","259","1","10","42"
"8710000US4216155","ZCTA5 16155, Pennsylvania","41","41","0","0","0","0","0","0"
"8710000US4216434","ZCTA5 16434, Pennsylvania","885","879","0","1","0","0","1","4"
"8710000US4215531","ZCTA5 15531, Pennsylvania","1634","1616","4","2","3","0","1","8"
"8710000US4215821","ZCTA5 15821, Pennsylvania","80","79","0","0","0","0","1","0"
